county,rank,option_id,local_option,option_type,centroid_distance_miles,selection_basis
Effingham,1,1710,Effingham Rec Department,park,0.6,Named OSM recreation option within county
Effingham,2,1685,Veterans Park,park,1.3,Named OSM recreation option within county
Effingham,3,1709,Springfield City Park,park,1.7,Named OSM recreation option within county
Schley,1,1527,McMickle Park,park,1.6,Named OSM recreation option within county
Brooks,1,3105,Wood Valley Community Center,recreation_ground,15.3,Nearest named OSM recreation option
Brooks,2,1664,Grove Point Park,park,15.5,Nearest named OSM recreation option
Brooks,3,2098,Langdale Park,park,15.6,Nearest named OSM recreation option
Richmond,1,2068,Diamond Lakes Regional Park,park,1.1,Named OSM recreation option within county
Richmond,2,2585,Hephzibah-Carroll Community Center,park,3.8,Named OSM recreation option within county
Richmond,3,2354,Butler Creek Park,park,4.3,Named OSM recreation option within county
Putnam,1,2476,Jimmy Davis Recreation Park,park,0.3,Named OSM recreation option within county
Putnam,2,1428,Deloach Park,park,0.7,Named OSM recreation option within county
Putnam,3,215,Eatonton Historic District,park,1.0,Named OSM recreation option within county
Fayette,1,2082,Patriot Park,park,1.4,Named OSM recreation option within county
Fayette,2,741,Kiwanis Park,park,1.6,Named OSM recreation option within county
Fayette,3,628,The Ridge Nature Preserve,park,1.6,Named OSM recreation option within county
Hancock,1,2322,Veterans Memorial Park,park,1.5,Named OSM recreation option within county
Hancock,2,228,Little Hudson Park,park,9.2,Named OSM recreation option within county
Hancock,3,227,Linton Historic District,park,10.7,Named OSM recreation option within county
Glascock,1,2360,Brassell Park,park,0.8,Named OSM recreation option within county
Glascock,2,2474,Mitchell City Park,park,5.4,Named OSM recreation option within county
Wilcox,1,2192,Crummey Park,park,2.0,Named OSM recreation option within county
Wilcox,2,2193,Patriot Park,park,2.2,Named OSM recreation option within county
Wilcox,3,2766,Halfmoon Landing,park,8.1,Named OSM recreation option within county
Pike,1,3123,Chandler Waterfront,recreation_ground,10.9,Nearest named OSM recreation option
Pike,2,1445,Airport Road Park,park,11.2,Nearest named OSM recreation option
Pike,3,1885,WWII Memorial Park,park,11.8,Nearest named OSM recreation option
Decatur,1,181,Washington Street Park,park,0.8,Named OSM recreation option within county
Decatur,2,2155,Bill Reynolds Sports Park,park,1.4,Named OSM recreation option within county
Decatur,3,178,Bainbridge Residential Historic District,park,1.8,Named OSM recreation option within county
Bleckley,1,1502,Bleckley County Memorial Park,park,2.0,Named OSM recreation option within county
Bleckley,2,2859,Cochran-Bleckley Recreation Department,recreation_ground,4.4,Named OSM recreation option within county
Bleckley,3,2763,James Dykes Memorial Park,park,9.1,Named OSM recreation option within county
Marion,1,175,Fort Perry Monument,park,8.5,Named OSM recreation option within county
Treutlen,1,1888,Jean Gillis Memorial Park,park,2.4,Named OSM recreation option within county
Treutlen,2,1889,Soperton Recreation Dept.,park,3.6,Named OSM recreation option within county
Calhoun,1,4,Andrew Jackson Monument,park,15.0,Nearest named OSM recreation option
Calhoun,2,2226,Randolph County Veterans Memorial Park,park,15.8,Nearest named OSM recreation option
Calhoun,3,1564,Clover Field,park,17.6,Nearest named OSM recreation option
Jeff Davis,1,1779,Weatherly Park,park,4.1,Named OSM recreation option within county
Jeff Davis,2,1780,Buddy Spann Park,park,5.4,Named OSM recreation option within county
Jeff Davis,3,2777,Hinson Landing,park,9.3,Named OSM recreation option within county
Glynn,1,2382,Altama Park,park,1.4,Named OSM recreation option within county
Glynn,2,2374,Paula Park,park,2.3,Named OSM recreation option within county
Glynn,3,334,Madge Merritt Park,park,2.3,Named OSM recreation option within county
Banks,1,2230,Veteran's Memorial Park,park,1.4,Named OSM recreation option within county
Banks,2,2177,Banks County Public Park,park,3.0,Named OSM recreation option within county
Banks,3,1829,Maysville Park,park,7.3,Named OSM recreation option within county
Wayne,1,1362,Bill Morris Park,park,3.1,Named OSM recreation option within county
Wayne,2,1412,Wayne Memorial Park,park,3.7,Named OSM recreation option within county
