county,population,nearest_drive_park,drive_time_minutes,drive_distance_miles,drive_access_category
Marion,7474,STANDING BOY CREEK SP,82.8,50.4,Very Low
Grady,26056,SEMINOLE SP,76.6,45.9,Very Low
Jefferson,15468,MAGNOLIA SPRINGS SP,75.6,44.0,Very Low
Mitchell,21441,REED BINGHAM SP,74.9,45.8,Very Low
Long,17512,GORDONIA-ALATAMAHA SP,73.8,42.9,Very Low
McIntosh,11187,FORT MCALLISTER SP,72.5,44.4,Very Low
Baker,2830,KOLOMOKI MOUNDS SP,72.4,37.2,Very Low
Peach,28269,HIGH FALLS SP,70.7,58.4,Very Low
Charlton,12711,LAURA WALKER SP,70.2,32.0,Very Low
Wayne,30519,LAURA WALKER SP,68.9,43.9,Very Low
