county,population,nearest_park,park_distance_miles,access_category
Peach,28269,GEORGIA VETERANS SP,42.3,Very Low
Mitchell,21441,REED BINGHAM SP,39.0,Very Low
Grady,26056,SEMINOLE SP,38.4,Very Low
Houston,166902,GEORGIA VETERANS SP,37.2,Very Low
Taylor,7786,F. D. ROOSEVELT SP,36.0,Very Low
Dougherty,83915,GEORGIA VETERANS SP,34.6,Very Low
Terrell,8941,GEORGIA VETERANS SP,33.8,Very Low
Wayne,30519,LAURA WALKER SP,33.6,Very Low
Marion,7474,STANDING BOY CREEK SP,33.6,Very Low
Long,17512,GORDONIA-ALATAMAHA SP,33.1,Very Low
